ID,source,start,window,n_days,top10_inflow_share
1741,cars,2000,early,3653,0.057518743647784226
1741,cars,2000,late,3652,0.058281189493359385
1741,upstream,2000,early,3652,0.06308637572990963
1741,upstream,2000,late,3652,0.06355712565056874
1742,cars,1980,early,3653,0.04290870838513729
1742,cars,1980,late,3652,0.0464936424519145
1742,cars,2000,early,3653,0.05083261004805908
1742,cars,2000,late,2920,0.04666406611662441
1742,upstream,1980,early,3653,0.04631718186837659
1742,upstream,1980,late,3652,0.05259764913848572
1742,upstream,2000,early,3651,0.05758207599007812
1742,upstream,2000,late,2913,0.05080496270268297
1744,cars,2000,early,3653,0.07475153316100838
1744,cars,2000,late,3652,0.04976725861050351
1744,upstream,2000,early,3653,0.0857122950850482
1744,upstream,2000,late,3652,0.05644518349698838
1752,cars,1980,early,3633,0.014618791948416497
1752,cars,1980,late,3652,0.012067536503348351
1752,cars,2000,early,3653,0.01305948265090613
1752,cars,2000,late,3652,0.018704084041243865
1752,upstream,1980,early,3610,0.014831256054401006
1752,upstream,1980,late,3642,0.012259497161273454
1752,upstream,2000,early,3643,0.01331238019998044
1752,upstream,2000,late,3648,0.018814233238889446
1753,cars,1980,early,3653,0.017138005627313033
1753,cars,1980,late,3652,0.016808445179840134
1753,cars,2000,early,3653,0.022130296401396327
1753,cars,2000,late,3652,0.01773486721133172
1753,upstream,1980,early,3653,0.01731192409666018
1753,upstream,1980,late,3652,0.017118071896600306
1753,upstream,2000,early,3653,0.022340200830067606
1753,upstream,2000,late,3652,0.01775339122145853
1754,cars,1980,early,3623,0.06332929282793012
1754,cars,1980,late,3630,0.048087299279176404
1754,cars,2000,early,3637,0.05929187050426754
1754,cars,2000,late,3636,0.03728701802261373
1755,cars,2000,early,3653,0.053311633872157704
1755,cars,2000,late,3652,0.06129111923105353
1755,upstream,2000,early,3653,0.05955863499704914
1755,upstream,2000,late,3652,0.06946268752167781
1756,cars,1980,early,3651,0.04714166876657852
1756,cars,1980,late,3652,0.04090554796643819
1756,cars,2000,early,3651,0.048763729718607644
1756,cars,2000,late,3652,0.033696785076537186
1761,cars,1980,early,3653,0.036931016643743174
1761,cars,1980,late,3652,0.03509321205532533
1761,cars,2000,early,3653,0.03147015327783594
1761,cars,2000,late,3652,0.03223687599488071
1761,upstream,1980,early,3653,0.037545823706383055
1761,upstream,1980,late,3651,0.03580791075135939
1761,upstream,2000,early,3217,0.03393150676031776
1761,upstream,2000,late,3625,0.033043197263392846
1762,cars,1980,early,3620,0.059860604862079905
1762,cars,1980,late,3604,0.05539237516882542
1762,cars,2000,early,3515,0.06853622236492553
1762,cars,2000,late,3606,0.04416276656863461
1768,cars,1980,early,3632,0.017652346262149267
1768,cars,1980,late,3652,0.013894589773667903
1768,cars,2000,early,3653,0.017466724175126125
1768,cars,2000,late,3652,0.016029010743790473
1768,upstream,1980,early,3618,0.08046554485031605
1768,upstream,1980,late,3639,0.014267747508291575
1768,upstream,2000,early,3652,0.01821412309623629
1768,upstream,2000,late,3652,0.01628765668474207
1775,cars,1980,early,3636,0.06818885471865757
1775,cars,1980,late,3593,0.06367716749159563
1775,cars,2000,early,3622,0.07715680305946962
1775,cars,2000,late,3551,0.05933276484843847
1776,cars,1980,early,3653,0.03226210932891743
1776,cars,1980,late,3652,0.03541350505082697
1776,cars,2000,early,3653,0.03177753039549146
1776,cars,2000,late,3652,0.03375435288371199
1776,upstream,1980,early,3651,0.03685667428356848
1776,upstream,1980,late,3651,0.04073788008716314
1776,upstream,2000,early,3650,0.034991474651109716
1776,upstream,2000,late,3652,0.03776425455501845
1777,cars,1980,early,3644,0.055723041062369645
1777,cars,1980,late,3652,0.059918112146410164
1777,cars,2000,early,3653,0.07795814212590661
1777,cars,2000,late,3652,0.04230163851806851
1777,upstream,2000,early,3466,0.08477347598274369
1777,upstream,2000,late,3638,0.04597799942149749
1782,cars,2000,early,3621,0.0692002900484414
1782,cars,2000,late,3632,0.08669691052512368
1796,cars,1980,early,3653,0.057928067762140295
1796,cars,1980,late,3648,0.06389461835942557
1796,cars,2000,early,3653,0.06229998282591254
1796,cars,2000,late,3652,0.07362513125976418
180,cars,2000,early,3613,0.07300371648026331
180,cars,2000,late,3266,0.3108368912022187
182,cars,2000,early,3629,0.03719514337680344
182,cars,2000,late,3287,0.0628182427485124
182,upstream,2000,early,3622,0.039004380310817516
182,upstream,2000,late,3283,0.06562439709575794
1848,cars,1980,early,3653,0.053837378795515575
1848,cars,1980,late,3652,0.051601159503568236
1848,cars,2000,early,3653,0.047793885400848723
1848,cars,2000,late,3652,0.06189837920884667
1848,upstream,1980,early,3653,0.0561982754104177
1848,upstream,1980,late,3652,0.0539126821411402
1848,upstream,2000,early,3653,0.04992126135602605
1848,upstream,2000,late,3652,0.06340667215362099
185,cars,2000,early,3280,0.09895392959243697
185,cars,2000,late,3284,0.10799396868815343
1851,cars,1980,early,3653,0.02583750903082659
1851,cars,1980,late,3652,0.030771093015710668
1851,cars,2000,early,3653,0.03729500785826807
1851,cars,2000,late,3652,0.027609852115563608
1851,upstream,1980,early,3597,0.029565522911490016
1851,upstream,1980,late,3630,0.03491403473105225
1851,upstream,2000,early,3179,0.043992291818258
1851,upstream,2000,late,3570,0.03056633085495821
1864,cars,1980,early,3653,0.05956115627423543
1864,cars,1980,late,3652,0.05266703363951753
1864,cars,2000,early,3653,0.05475068198260878
1864,cars,2000,late,3652,0.06262764626459348
1864,upstream,1980,early,3653,0.06405158280609087
1864,upstream,1980,late,3652,0.05576236752752143
1864,upstream,2000,early,3653,0.06398456956845407
1864,upstream,2000,late,3652,0.06961130447600009
1869,cars,1980,early,3653,0.08689552615591054
1869,cars,1980,late,3652,0.07450176449744352
1869,cars,2000,early,3653,0.06418525125114345
1869,cars,2000,late,3652,0.0746762273552232
1869,upstream,1980,early,3653,0.09649289431036744
1869,upstream,1980,late,3652,0.08200000594496455
1869,upstream,2000,early,3653,0.0704839704965952
1869,upstream,2000,late,3652,0.07899318678758756
1872,cars,2000,early,3653,0.02165630849539333
1872,cars,2000,late,3652,0.02041068301056396
1879,cars,1980,early,3280,0.016864315461868545
1879,cars,1980,late,3652,0.01984148166270053
1879,cars,2000,early,3279,0.026587530913638642
1879,cars,2000,late,3631,0.02077875872488332
1879,upstream,1980,early,3222,0.017467278964989407
1879,upstream,1980,late,3643,0.02036083569039101
1879,upstream,2000,early,3271,0.027072315174575996
1879,upstream,2000,late,3602,0.021601217654589736
1883,cars,2000,early,3618,0.04110796467054341
1883,cars,2000,late,3255,0.057131685708424404
1883,upstream,2000,early,3284,0.04862980383793019
1883,upstream,2000,late,3241,0.062070759359597896
191,cars,2000,early,3593,0.030614582197827894
191,cars,2000,late,3650,0.0412888040178518
191,upstream,2000,early,3547,0.031352290136986254
191,upstream,2000,late,3632,0.04299005626374586
1910,cars,1980,early,3653,0.021853452201507688
1910,cars,1980,late,3652,0.03602109090343134
1910,upstream,1980,early,3647,0.023542370107051454
1910,upstream,1980,late,3647,0.037112034055406806
193,cars,2000,early,3256,0.1279511264273873
193,cars,2000,late,3644,0.12239071778675575
198,cars,2000,early,3652,0.03003579230482423
198,cars,2000,late,3652,0.03565275536353103
198,upstream,2000,early,3634,0.03011822491065065
198,upstream,2000,late,3640,0.037462958857458116
204,cars,1980,early,3282,0.011374756156146906
204,cars,1980,late,3649,0.013321212745270124
204,cars,2000,early,3653,0.011378268706565022
204,cars,2000,late,3287,0.01396694141991627
204,upstream,2000,early,3572,0.01189035990157458
204,upstream,2000,late,3270,0.014184558333610486
223,cars,2000,early,3176,0.01419372943166667
223,cars,2000,late,3603,0.01687824613871137
