scenario,task,model,ID,MAIN_BAS,fold,n_train,observed,predicted,group,absolute_error
cars,US,persistence,517,7060008710,1,128,0.3479024777143732,0.3768690160204692,Common cohort,0.028966538306095968
cars,US,persistence,518,7060008710,1,128,0.5128392897293541,0.5176159493796735,Common cohort,0.00477665965031937
cars,US,persistence,531,7060008710,1,128,0.1943925982432932,0.2486894707415422,Common cohort,0.05429687249824902
cars,US,persistence,536,7060008710,1,128,0.2525079757588215,0.2441716783844615,Common cohort,0.008336297374360008
cars,US,persistence,541,7060008710,1,128,0.3372827560408248,0.3680095508242642,Common cohort,0.03072679478343937
cars,US,persistence,542,7060008710,1,128,0.0187909764074965,0.0431119336673547,Common cohort,0.024320957259858198
cars,US,persistence,549,7060008710,1,128,0.1701278393208284,0.1265932506455483,Common cohort,0.043534588675280095
cars,US,persistence,567,7060008710,1,128,0.6561024589795234,0.5645647910752323,Common cohort,0.09153766790429108
cars,US,persistence,572,7060008710,1,128,0.2545793834791666,0.3397319438274165,CARS-only,0.08515256034824992
cars,US,persistence,574,7060008710,1,128,0.3997613582889092,0.4512779774649619,Common cohort,0.051516619176052714
cars,US,persistence,575,7060008710,1,128,0.3449917751935075,0.4519429074049217,Common cohort,0.10695113221141422
cars,US,persistence,597,7060008710,1,128,0.5041937892767199,0.4783413138687872,Common cohort,0.025852475407932674
cars,US,persistence,601,7060008710,1,128,0.3977358697471582,0.3470926370857538,Common cohort,0.050643232661404414
cars,US,persistence,1249,7060048410,2,145,1.146030395254913,0.8239127479792422,Common cohort,0.3221176472756707
cars,US,persistence,132,7060013550,2,145,0.219801286694753,0.1513798008264652,Common cohort,0.06842148586828778
cars,US,persistence,133,7060013550,2,145,0.0741904804748519,0.0393393163092264,Common cohort,0.034851164165625496
cars,US,persistence,144,7060013550,2,145,0.2476494597423332,1.934865963520902,CARS-only,1.687216503778569
cars,US,persistence,148,7060013550,2,145,0.2197842033324871,0.172133696353775,Common cohort,0.04765050697871209
cars,US,persistence,168,7060013550,2,145,0.0693896054922447,0.0473233359031935,CARS-only,0.022066269589051196
cars,US,persistence,1776,7060043090,2,145,0.0707366206007042,0.0378248716198796,Common cohort,0.03291174898082459
cars,US,persistence,182,7060013550,2,145,0.1812616410347769,0.1878565862932835,Common cohort,0.006594945258506596
cars,US,persistence,185,7060013550,2,145,0.7485088847580723,0.5889894278477281,CARS-only,0.1595194569103442
cars,US,persistence,191,7060013550,2,145,0.2234054546701261,0.3085108444008708,Common cohort,0.08510538973074469
cars,US,persistence,193,7060013550,2,145,0.4154316045619325,0.5575534844502066,CARS-only,0.14212187988827407
cars,US,persistence,198,7060013550,2,145,0.3030069769194994,0.3601316197490651,Common cohort,0.0571246428295657
cars,US,persistence,204,7060013550,2,145,0.3022171133610934,0.3639947327359355,Common cohort,0.06177761937484211
cars,US,persistence,524,7060073920,2,145,0.2800087631552244,0.6078183713614831,Common cohort,0.3278096082062587
cars,US,persistence,585,7060013550,2,145,0.3782257121411972,0.3180967080847229,CARS-only,0.06012900405647431
cars,US,persistence,592,7060013550,2,145,0.3000093946332669,0.5038349664652603,CARS-only,0.20382557183199335
cars,US,persistence,595,7060013550,2,145,0.1074165396122517,0.1992841916893307,Common cohort,0.091867652077079
cars,US,persistence,600,7060013550,2,145,0.2941340706340895,0.2914841171161893,Common cohort,0.00264995351790015
cars,US,persistence,605,7060013550,2,145,0.298616468183024,0.2780292342899207,CARS-only,0.020587233893103296
cars,US,persistence,609,7060013550,2,145,0.2192750627171245,0.3371005389510386,CARS-only,0.1178254762339141
cars,US,persistence,612,7060013550,2,145,0.1073350394030861,0.1516502613470948,Common cohort,0.044315221944008706
cars,US,persistence,1086,7060049270,3,132,1.0688908847059715,0.886849700889463,Common cohort,0.18204118381650847
cars,US,persistence,131,7060014200,3,132,0.3069620663884905,0.2856074661052528,Common cohort,0.021354600283237712
cars,US,persistence,1761,7060042310,3,132,0.2589475273602554,0.1990868414498117,Common cohort,0.05986068591044369
cars,US,persistence,1879,7060043160,3,132,0.5783266087608062,0.5690889313730689,Common cohort,0.009237677387737286
cars,US,persistence,310,7060014930,3,132,0.0602561460752809,0.0587174086689135,Common cohort,0.0015387374063674034
cars,US,persistence,316,7060014930,3,132,0.2220848054312484,0.2392969039661541,Common cohort,0.017212098534905712
cars,US,persistence,361,7060014930,3,132,0.1050318957957349,0.1131674530361099,Common cohort,0.008135557240375
cars,US,persistence,367,7060014930,3,132,0.2686097219279892,0.3459403401148665,CARS-only,0.07733061818687731
